2020-04-02 11:09:27,759 fill_mydatabase.py  INFO  (1, 'user1', 'user1@gmail.com', 1000, 'Male', 'Pune')
2020-04-02 11:09:27,766 fill_mydatabase.py  INFO  (2, 'user2', 'user2@gmail.com', 2000, 'Male', 'Hyderabad')
2020-04-02 11:09:27,771 fill_mydatabase.py  INFO  (3, 'user3', 'user3@gmail.com', 3000, 'Male', 'Chennai')
2020-04-02 11:09:27,774 fill_mydatabase.py  INFO  (4, 'user4', 'user4@gmail.com', 4000, 'Female', 'Hyderabad')
2020-04-02 11:09:27,776 fill_mydatabase.py  INFO  (5, 'user5', 'user5@gmail.com', 5000, 'Female', 'Mumbai')
2020-04-02 11:09:27,779 fill_mydatabase.py  INFO  (6, 'user6', 'user6@gmail.com', 6000, 'Female', 'Mumbai')
2020-04-02 11:09:27,783 fill_mydatabase.py  INFO  (7, 'user7', 'user7@gmail.com', 7000, 'Female', 'Hyderabad')
2020-04-02 11:09:27,786 fill_mydatabase.py  INFO  (8, 'user8', 'user8@gmail.com', 8000, 'Male', 'Bangalore')
2020-04-02 11:09:27,789 fill_mydatabase.py  INFO  (9, 'user9', 'user9@gmail.com', 9000, 'Male', 'Chennai')
2020-04-02 11:09:27,791 fill_mydatabase.py  INFO  (10, 'user10', 'user10@gmail.com', 10000, 'Female', 'Bangalore')
2020-04-02 11:09:27,795 fill_mydatabase.py  INFO  (11, 'user11', 'user11@gmail.com', 11000, 'Male', 'Bangalore')
2020-04-02 11:09:27,799 fill_mydatabase.py  INFO  (12, 'user12', 'user12@gmail.com', 12000, 'Female', 'Ahmedabad')
2020-04-02 11:09:27,803 fill_mydatabase.py  INFO  (13, 'user13', 'user13@gmail.com', 13000, 'Male', 'Pune')
2020-04-02 11:09:27,806 fill_mydatabase.py  INFO  (14, 'user14', 'user14@gmail.com', 14000, 'Male', 'Mumbai')
2020-04-02 11:09:27,809 fill_mydatabase.py  INFO  (15, 'user15', 'user15@gmail.com', 15000, 'Male', 'Hyderabad')
2020-04-02 11:09:27,813 fill_mydatabase.py  INFO  (16, 'user16', 'user16@gmail.com', 16000, 'Male', 'Pune')
2020-04-02 11:09:27,815 fill_mydatabase.py  INFO  (17, 'user17', 'user17@gmail.com', 17000, 'Male', 'Mumbai')
2020-04-02 11:09:27,819 fill_mydatabase.py  INFO  (18, 'user18', 'user18@gmail.com', 18000, 'Male', 'Hyderabad')
2020-04-02 11:09:27,821 fill_mydatabase.py  INFO  (19, 'user19', 'user19@gmail.com', 19000, 'Female', 'Hyderabad')
2020-04-02 11:09:27,824 fill_mydatabase.py  INFO  (20, 'user20', 'user20@gmail.com', 20000, 'Female', 'Ahmedabad')
2020-04-02 11:09:27,828 fill_mydatabase.py  INFO  (21, 'user21', 'user21@gmail.com', 21000, 'Female', 'Pune')
2020-04-02 11:09:27,832 fill_mydatabase.py  INFO  (22, 'user22', 'user22@gmail.com', 22000, 'Female', 'Chennai')
